"","n.patches","r1","r2","pred.avg.size","mean.sim.size"
"44",4,0.401,0.301,2.28380394874459,0.6146412199776
"45",4,0.401,0.401,2.08669910076776,0.599463769622901
"46",4,0.401,0.501,1.94293523308614,0.629576710771672
"47",4,0.401,0.601,1.83305228929599,0.580778323766343
"48",4,0.401,0.701,1.74603850667989,0.231247280898812
"49",4,0.401,0.801,1.67521851296053,0.686891352671446
"50",4,0.401,0.901,1.61631104401092,0.405031651927996
"51",4,0.501,0.001,3.78901926976286,2.63320304387804
"52",4,0.501,0.101,3.14892547057502,1.15483640428591
"53",4,0.501,0.201,2.72739571870163,0.511187811174503
"54",4,0.501,0.301,2.44214929949463,0.838275733427552
"55",4,0.501,0.401,2.23879217454845,0.954838427285126
"56",4,0.501,0.501,2.08669910076776,0.690943842057467
"57",4,0.501,0.601,1.96846153261534,0.601494206757567
"58",4,0.501,0.701,1.87368631547245,0.325211126845612
"59",4,0.501,0.801,1.79584009821125,0.617938033109426
"60",4,0.501,0.901,1.73062269108,0.473987876241073
"61",4,0.601,0.001,3.7903166664061,3.01900503522954
"62",4,0.601,0.101,3.23875546155544,1.57026334673526
"63",4,0.601,0.201,2.84960007955804,0.560215213843759
"64",4,0.601,0.301,2.57207608884017,0.499515935082655
"65",4,0.601,0.401,2.36726517152788,0.536224769555204
"66",4,0.601,0.501,2.21051924088964,0.49132787064604
"67",4,0.601,0.601,2.08669910076776,0.369371282934867
"68",4,0.601,0.701,1.98628710050678,0.687125135024686
"69",4,0.601,0.801,1.9030810739816,0.398395926200909
"70",4,0.601,0.901,1.83289081846906,0.373578359977244
"71",4,0.701,0.001,3.79124444338418,2.63553369179221
"72",4,0.701,0.101,3.30698941957084,0.94550257609021
"73",4,0.701,0.201,2.94766105765241,0.328681955469685
"74",4,0.701,0.301,2.68043213907628,0.649776411242937
"75",4,0.701,0.401,2.47723721258462,0.66601773998499
"76",4,0.701,0.501,2.31844303061705,0.351209622928034
"77",4,0.701,0.601,2.19111127440161,0.290508420782596
"78",4,0.701,0.701,2.08669910076776,0.807886562842888
"79",4,0.701,0.801,1.99944081818136,0.885295459078202
"80",4,0.701,0.901,1.92533884492451,0.987148386208984
"81",4,0.801,0.001,3.79194085946011,1.87046624211671
"82",4,0.801,0.101,3.36050168440564,0.850544669386085
"83",4,0.801,0.201,3.02790082460967,0.29043107618994
"84",4,0.801,0.301,2.7720180379394,0.380599508292831
"85",4,0.801,0.401,2.57237079229048,0.441535096027076
"86",4,0.801,0.501,2.41337707043363,0.54693040599303
"87",4,0.801,0.601,2.28409606722545,0.659623143062461
"88",4,0.801,0.701,2.17696363572258,0.632337231933862
"89",4,0.801,0.801,2.08669910076776,0.551214262808152
"90",4,0.801,0.901,2.00954689268295,0.440357246542458
"91",4,0.901,0.001,3.79248286247586,1.49593074322208
"92",4,0.901,0.101,3.40355429072995,0.966782688777162
"93",4,0.901,0.201,3.0946555760281,0.22160078037052
"94",4,0.901,0.301,2.85032289902861,0.989963032427123
"95",4,0.901,0.401,2.6553990789404,0.516783078578413
"96",4,0.901,0.501,2.49751077966345,0.547090517590634
"97",4,0.901,0.601,2.36746234078176,0.680701510244318
"98",4,0.901,0.701,2.25861788464526,0.482109299498979
"99",4,0.901,0.801,2.16619278207282,0.793473334418887
"100",4,0.901,0.901,2.08669910076776,0.633174246346656
