"","n.patches","r1","r2","pred.avg.size","mean.sim.size","mean.transition.time","T.absorp","T.eq","T.QED"
"54",6,0.01,0.75,0.908856971036594,0.552041985900658,0.416730312980122,1.42129734820402,7.57537548564711,17.7250096095072
"55",6,0.01,1,0.894630768134584,0.633143072530359,0.477175884066474,1.04958515636386,6.01779256641451,17.4694998065026
"56",6,0.25,0.01,5.45172020187082,2.04732631940983,2.2380440580977,207625782.083017,342.423962961611,3.84615391740174
"57",6,0.25,0.25,2.86270113417936,0.645647665142569,0.768281796395263,51.6154800258023,69.9454293700704,2.08062000000645
"58",6,0.25,0.5,2.12209863576192,0.388467498098654,0.451819793656407,8.95025043885879,160.807433277705,1.56673193189339
"59",6,0.25,0.75,1.79584597602286,0.536337580502485,0.347417229332431,3.95519652408408,12.1246711928722,1.33838697083266
"60",6,0.25,1,1.60989988051273,1.18371602522572,0.218134378730554,2.37024020459049,10,1.20758095362036
"61",6,0.5,0.01,5.56334501217181,1.82716254564269,0.70146522148782,5889136855.32213,176.041110000185,1.96078431437834
"62",6,0.5,0.25,3.73486864498268,0.662929257086752,0.439615052898648,272.985209429463,215.815692305659,1.33987765691146
"63",6,0.5,0.5,2.86270113417936,0.412949926057258,0.286398858227722,25.8077400129012,145.729073375175,1.04031000000323
"64",6,0.5,0.75,2.40269254771656,0.561877492874494,0.295939210770675,8.69686064117334,23.219768827443,0.88104486441905
"65",6,0.5,1,2.12209863576192,0.0840345170674087,0.16452809544913,4.47512521942938,54.5328839114566,0.783365965946698
"66",6,0.75,0.01,5.60154545408448,2.90827092351954,0.516006067124783,42935587340.984,34.6087344545406,1.31578947372454
"67",6,0.75,0.25,4.20859753275161,0.39526995692441,0.390459542050444,982.621058726687,87.999714564988,1.00101872305113
"68",6,0.75,0.5,3.37156240754418,0.291641826262906,0.289731571461783,63.0216684837818,9,0.810285805822885
"69",6,0.75,0.75,2.86270113417936,0.414869785950497,0.251700183084907,17.2051600085993,124.065834725013,0.693540000002152
"70",6,0.75,1,2.52913778236767,0.484029987127826,0.197769660623612,7.79753472796674,19,0.616616201553471
"71",6,1,0.01,5.62083723456431,1.84782294408141,0.289852450597776,177265198274.836,96.5783724371878,0.990099009906521
"72",6,1,0.25,4.4994428484997,0.844732559803047,0.395979466316531,2753.89858697577,19,0.800232465340338
"73",6,1,0.5,3.73486864498268,0.200655066871622,0.180621962488473,136.492604714732,165.589084483533,0.66993882845573
"74",6,1,0.75,3.22140475104178,0.928229023593266,0.226205914930294,31.6684286867227,25,0.581928960888464
"75",6,1,1,2.86270113417936,0.381704567909601,0.230491219454354,12.9038700064506,475.783242300358,0.520155000001613
